data;local;risco;n_pessoas;origem;espera;vulneraveis;necessita_medico;nivel_aguasentimento;confiavel;prioridade;nivel_agua;sentimento
25/09/2021 19:18;48;1;3;whatsapp;86;TRUE;FALSE;;TRUE;4;teto;nervoso
08/10/2021 12:17;36;1;5;whatsapp;37;FALSE;FALSE;;TRUE;1;cintura;panico
28/04/2024 19:25;33;4;2;whatsapp;65;FALSE;FALSE;;TRUE;0;tornozelo;panico
22/11/2023 04:05;6;3;2;whatsapp;19;FALSE;FALSE;;TRUE;2;tornozelo;panico
10/05/2022 20:21;0;5;1;190;54;FALSE;FALSE;;TRUE;2;tornozelo;panico
01/03/2021 06:27;4;3;2;instagram;19;FALSE;FALSE;;TRUE;1;cintura;nervoso
14/11/2025 07:00;3;2;1;instagram;18;FALSE;FALSE;;TRUE;1;tornozelo;panico
08/02/2022 19:01;33;2;4;instagram;63;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
06/04/2024 06:47;13;3;2;instagram;1;FALSE;FALSE;;TRUE;2;tornozelo;panico
08/02/2021 01:59;42;3;3;whatsapp;56;FALSE;TRUE;;TRUE;3;cintura;panico
26/03/2024 00:51;12;4;5;whatsapp;119;FALSE;FALSE;;TRUE;4;teto;nervoso
01/03/2022 01:27;30;2;6;whatsapp;87;FALSE;FALSE;;TRUE;4;teto;nervoso
01/06/2024 10:15;29;1;8;instagram;101;TRUE;FALSE;;TRUE;5;teto;nervoso
15/05/2025 07:42;33;3;4;whatsapp;85;FALSE;FALSE;;TRUE;5;teto;panico
09/05/2021 00:01;49;1;3;190;23;FALSE;FALSE;;TRUE;2;teto;calmo
04/01/2023 17:43;29;2;4;190;27;FALSE;FALSE;;TRUE;3;teto;panico
27/01/2023 13:33;47;3;8;whatsapp;79;FALSE;FALSE;;TRUE;5;teto;calmo
06/03/2024 06:28;49;2;7;instagram;104;FALSE;FALSE;;FALSE;2;cintura;nervoso
26/04/2022 00:52;5;4;5;190;16;FALSE;FALSE;;TRUE;1;tornozelo;calmo
17/02/2026 14:28;22;2;9;whatsapp;19;FALSE;FALSE;;TRUE;2;cintura;panico
25/07/2025 18:01;47;2;8;instagram;112;TRUE;FALSE;;TRUE;4;cintura;panico
07/03/2023 00:40;33;2;8;whatsapp;6;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
07/08/2021 07:43;47;4;5;instagram;86;FALSE;FALSE;;TRUE;5;teto;panico
20/01/2025 10:11;37;2;4;instagram;66;TRUE;FALSE;;TRUE;3;tornozelo;panico
07/01/2022 17:14;43;1;7;190;21;FALSE;FALSE;;FALSE;1;cintura;calmo
30/05/2021 18:06;40;2;6;190;0;FALSE;TRUE;;TRUE;3;cintura;panico
31/07/2022 14:29;40;4;9;190;89;FALSE;FALSE;;TRUE;5;teto;nervoso
02/11/2021 23:28;45;3;2;whatsapp;0;FALSE;TRUE;;TRUE;2;cintura;calmo
25/08/2023 21:38;28;4;6;whatsapp;24;FALSE;FALSE;;FALSE;3;cintura;panico
25/05/2020 03:20;11;2;2;instagram;105;FALSE;FALSE;;TRUE;1;cintura;nervoso
26/02/2021 23:33;26;3;9;190;50;FALSE;FALSE;;TRUE;3;cintura;panico
11/07/2025 20:50;8;3;3;instagram;28;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
17/06/2021 15:03;29;2;4;instagram;65;FALSE;FALSE;;TRUE;1;cintura;calmo
17/10/2024 15:08;7;1;3;whatsapp;82;TRUE;FALSE;;TRUE;5;teto;panico
09/02/2026 05:11;11;3;7;whatsapp;96;TRUE;FALSE;;TRUE;6;teto;calmo
02/10/2025 19:40;20;3;5;instagram;77;FALSE;FALSE;;TRUE;2;tornozelo;nervoso
21/03/2024 01:59;17;3;9;whatsapp;58;FALSE;FALSE;;TRUE;0;tornozelo;panico
27/03/2023 05:56;0;1;2;190;52;FALSE;TRUE;;TRUE;2;tornozelo;panico
20/09/2023 20:14;49;2;9;190;60;TRUE;FALSE;;TRUE;2;tornozelo;nervoso
31/07/2024 21:13;22;3;9;190;88;FALSE;FALSE;;TRUE;5;teto;calmo
12/02/2022 17:53;24;2;6;whatsapp;110;FALSE;FALSE;;TRUE;2;tornozelo;calmo
27/01/2020 12:57;39;2;9;instagram;90;FALSE;FALSE;;TRUE;2;cintura;nervoso
12/06/2021 01:48;38;2;6;whatsapp;41;TRUE;FALSE;;TRUE;2;cintura;calmo
30/07/2023 08:36;8;3;7;190;91;FALSE;FALSE;;TRUE;4;cintura;panico
03/08/2025 14:09;21;3;1;whatsapp;41;FALSE;FALSE;;TRUE;2;cintura;panico
26/02/2024 21:32;44;1;8;190;95;FALSE;FALSE;;TRUE;2;tornozelo;nervoso
02/07/2020 16:41;46;1;8;instagram;115;FALSE;FALSE;;TRUE;3;tornozelo;panico
12/07/2022 20:44;41;3;2;instagram;104;FALSE;FALSE;;TRUE;3;cintura;panico
30/08/2025 07:54;19;4;8;instagram;19;FALSE;FALSE;;TRUE;4;teto;nervoso
20/04/2026 08:59;38;2;4;instagram;16;FALSE;FALSE;;TRUE;0;cintura;nervoso
19/07/2024 02:18;37;4;7;instagram;43;TRUE;FALSE;;TRUE;3;cintura;calmo
12/05/2025 07:12;49;1;7;whatsapp;85;FALSE;FALSE;;TRUE;2;cintura;calmo
24/10/2024 11:43;20;2;1;instagram;81;TRUE;FALSE;;TRUE;2;cintura;nervoso
15/06/2025 00:15;22;5;2;instagram;31;FALSE;TRUE;;TRUE;4;teto;nervoso
29/05/2025 08:18;35;3;7;instagram;18;FALSE;FALSE;;TRUE;2;tornozelo;calmo
17/03/2026 21:30;31;1;9;instagram;40;FALSE;FALSE;;TRUE;3;teto;calmo
19/04/2022 08:50;11;3;7;whatsapp;3;TRUE;FALSE;;TRUE;6;teto;panico
08/04/2021 22:17;9;1;6;instagram;20;TRUE;FALSE;;TRUE;3;tornozelo;panico
12/12/2022 14:35;46;1;5;whatsapp;83;FALSE;FALSE;;TRUE;3;teto;nervoso
10/09/2025 21:10;7;3;9;whatsapp;19;FALSE;TRUE;;TRUE;3;tornozelo;nervoso
23/07/2021 12:14;7;2;2;instagram;59;FALSE;FALSE;;FALSE;2;teto;calmo
06/07/2024 08:53;45;3;8;190;19;FALSE;FALSE;;TRUE;0;tornozelo;calmo
29/03/2022 00:34;47;1;7;whatsapp;60;TRUE;FALSE;;FALSE;2;cintura;nervoso
22/03/2026 18:26;15;5;1;whatsapp;75;FALSE;FALSE;;TRUE;2;tornozelo;nervoso
15/05/2023 02:09;1;1;1;190;20;FALSE;FALSE;;TRUE;0;cintura;calmo
01/04/2023 04:26;19;1;9;whatsapp;18;FALSE;FALSE;;TRUE;4;teto;panico
01/10/2020 00:20;36;4;8;instagram;75;TRUE;FALSE;;TRUE;5;cintura;panico
16/06/2023 03:59;25;0;5;190;116;FALSE;FALSE;;TRUE;3;teto;nervoso
18/10/2024 21:35;16;0;4;190;86;FALSE;FALSE;;TRUE;1;cintura;calmo
30/04/2021 20:53;23;1;2;190;7;TRUE;FALSE;;TRUE;3;teto;calmo
26/12/2021 15:50;27;3;4;190;75;TRUE;FALSE;;TRUE;6;teto;panico
19/01/2021 14:24;31;3;5;190;70;FALSE;FALSE;;TRUE;3;tornozelo;panico
24/01/2023 09:47;39;2;1;whatsapp;4;TRUE;FALSE;;TRUE;2;tornozelo;panico
14/04/2022 01:33;0;2;5;instagram;99;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
14/06/2024 22:37;45;0;2;190;10;FALSE;FALSE;;TRUE;2;teto;calmo
17/11/2020 12:02;30;3;8;190;88;FALSE;FALSE;;TRUE;3;cintura;calmo
28/08/2022 17:49;36;3;1;instagram;95;TRUE;FALSE;;FALSE;4;tornozelo;panico
07/05/2020 23:01;26;4;8;whatsapp;43;FALSE;FALSE;;TRUE;4;teto;calmo
15/07/2024 12:21;37;2;1;190;80;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
10/03/2025 23:53;33;3;4;instagram;36;FALSE;FALSE;;TRUE;1;cintura;calmo
08/02/2022 21:40;2;3;9;instagram;87;FALSE;FALSE;;TRUE;5;teto;nervoso
11/03/2023 12:40;46;2;2;whatsapp;110;TRUE;FALSE;;TRUE;4;teto;nervoso
20/05/2024 22:07;23;4;5;whatsapp;83;TRUE;FALSE;;TRUE;0;cintura;nervoso
20/04/2024 15:50;28;3;1;whatsapp;78;FALSE;FALSE;;TRUE;2;cintura;nervoso
11/06/2024 11:50;2;3;6;whatsapp;42;FALSE;FALSE;;TRUE;3;cintura;panico
15/07/2020 14:55;3;3;3;190;119;FALSE;FALSE;;TRUE;4;teto;nervoso
14/05/2023 15:37;34;3;1;whatsapp;101;FALSE;FALSE;;TRUE;5;teto;panico
01/01/2020 04:59;2;3;9;whatsapp;1;TRUE;FALSE;;TRUE;3;cintura;calmo
04/03/2024 15:30;4;4;1;whatsapp;91;FALSE;TRUE;;TRUE;6;teto;panico
30/12/2025 17:44;40;1;8;instagram;34;FALSE;FALSE;;TRUE;3;teto;calmo
30/06/2024 11:51;25;3;2;190;52;TRUE;FALSE;;TRUE;3;cintura;panico
18/05/2021 11:43;46;4;1;instagram;30;FALSE;FALSE;;TRUE;2;cintura;panico
02/01/2023 19:12;16;0;5;whatsapp;97;FALSE;FALSE;;TRUE;2;tornozelo;panico
10/03/2022 07:39;44;2;7;whatsapp;89;FALSE;FALSE;;TRUE;2;cintura;calmo
08/07/2024 13:07;35;2;3;instagram;68;FALSE;FALSE;;TRUE;3;teto;calmo
17/11/2025 08:02;5;3;1;whatsapp;94;FALSE;FALSE;;TRUE;4;teto;nervoso
