data;local;velocidade_vento;terreno;correnteza;visibilidade;obstaculos;risco
11/09/2025 21:37;23;34;seco;88;42;FALSE;2
25/08/2020 17:58;25;71;asfalto molhado;62;81;FALSE;3
04/01/2025 19:50;45;49;lama;84;44;FALSE;3
17/08/2025 13:56;41;16;lama;32;29;FALSE;2
02/01/2022 13:27;13;59;asfalto molhado;35;57;FALSE;2
15/07/2023 19:37;35;82;asfalto molhado;63;20;FALSE;4
18/04/2021 02:08;15;66;navegavel;82;63;FALSE;2
01/07/2022 10:11;12;72;lama;70;9;TRUE;5
16/05/2020 23:19;40;65;asfalto molhado;29;10;FALSE;3
06/12/2024 20:32;44;49;lama;40;62;FALSE;1
26/03/2025 11:02;4;58;asfalto molhado;31;22;FALSE;3
26/07/2020 00:58;13;17;telhado;54;98;TRUE;3
10/07/2025 18:57;35;22;seco;14;76;FALSE;0
07/10/2023 09:08;43;80;telhado;4;1;FALSE;3
20/02/2025 20:28;19;41;lama;97;2;TRUE;4
15/06/2021 12:38;37;61;asfalto molhado;34;84;FALSE;2
14/04/2026 21:31;27;48;asfalto molhado;31;82;FALSE;1
08/08/2024 14:39;23;91;seco;55;25;FALSE;3
13/02/2024 10:36;34;47;telhado;10;19;FALSE;2
30/08/2022 09:17;39;38;lama;85;31;FALSE;3
01/06/2024 23:24;48;49;seco;80;96;FALSE;1
20/04/2021 06:11;18;53;navegavel;13;7;FALSE;2
09/04/2023 21:37;21;47;asfalto molhado;81;14;FALSE;3
17/12/2023 11:08;26;21;lama;64;39;FALSE;3
16/07/2024 04:47;25;3;lama;78;99;TRUE;3
14/09/2020 04:29;30;13;telhado;90;0;FALSE;3
27/01/2022 20:39;32;57;seco;8;81;FALSE;1
17/08/2022 21:39;46;19;lama;19;65;TRUE;2
08/03/2023 13:10;47;82;telhado;57;36;FALSE;4
14/03/2024 23:08;21;33;telhado;36;10;FALSE;2
25/01/2026 05:11;36;21;navegavel;2;37;FALSE;1
23/12/2023 04:24;44;64;seco;54;12;FALSE;3
30/12/2022 22:09;48;7;lama;6;31;FALSE;2
28/12/2024 15:03;2;34;telhado;4;60;FALSE;1
07/12/2020 07:48;12;55;lama;74;86;FALSE;3
19/11/2024 15:19;20;75;seco;59;11;TRUE;4
17/04/2021 09:07;14;74;asfalto molhado;0;46;TRUE;4
01/10/2021 03:21;29;45;asfalto molhado;58;54;FALSE;2
14/02/2025 05:11;25;40;navegavel;28;97;FALSE;0
07/02/2024 22:24;24;63;navegavel;30;20;TRUE;3
13/07/2021 11:10;1;67;lama;4;39;TRUE;4
01/09/2021 07:31;1;28;navegavel;69;23;FALSE;2
07/01/2021 12:04;4;24;navegavel;9;7;FALSE;1
08/08/2021 02:04;8;42;lama;58;53;FALSE;2
27/03/2024 10:33;9;44;asfalto molhado;46;14;FALSE;2
29/03/2026 20:57;18;88;asfalto molhado;11;57;FALSE;2
27/07/2025 13:44;41;62;lama;45;6;FALSE;3
08/04/2022 18:27;16;15;telhado;41;27;TRUE;3
07/01/2020 22:40;39;81;lama;57;98;FALSE;3
14/11/2022 16:54;23;36;telhado;4;74;TRUE;2
15/02/2026 08:47;48;63;seco;57;24;TRUE;4
05/03/2020 01:24;1;27;navegavel;54;63;FALSE;1
05/12/2021 00:17;30;56;asfalto molhado;84;72;FALSE;3
18/05/2021 11:06;22;88;telhado;0;9;FALSE;3
30/07/2025 17:06;17;8;asfalto molhado;25;48;FALSE;2
09/12/2022 20:26;39;48;telhado;67;99;FALSE;2
11/07/2024 04:41;30;78;lama;2;72;TRUE;3
29/06/2021 16:35;9;77;navegavel;1;15;TRUE;3
11/01/2020 20:36;12;36;lama;9;45;TRUE;3
29/06/2024 20:50;25;21;asfalto molhado;84;0;FALSE;3
01/05/2020 20:53;18;41;navegavel;81;70;FALSE;1
25/08/2024 15:44;29;45;telhado;55;52;TRUE;3
05/12/2025 17:16;8;77;lama;54;36;TRUE;5
11/02/2022 10:54;47;75;navegavel;61;71;TRUE;3
28/07/2025 08:00;8;13;seco;31;28;TRUE;2
19/03/2023 19:39;18;69;asfalto molhado;33;79;FALSE;2
22/09/2021 21:14;46;11;lama;87;95;TRUE;3
14/02/2024 10:04;43;18;asfalto molhado;87;91;TRUE;3
15/11/2024 20:51;32;3;telhado;13;48;FALSE;2
30/04/2020 23:51;22;28;asfalto molhado;78;73;FALSE;2
14/10/2023 18:17;27;96;lama;61;96;FALSE;3
05/04/2026 04:14;36;36;telhado;55;14;TRUE;4
26/04/2020 05:50;3;2;seco;83;21;TRUE;3
19/03/2021 06:57;47;89;seco;82;24;FALSE;3
22/03/2022 11:28;1;94;lama;48;66;FALSE;2
29/10/2021 10:16;1;12;lama;76;75;FALSE;2
03/03/2023 04:35;6;74;lama;94;9;TRUE;5
30/08/2024 00:11;23;29;telhado;72;2;TRUE;4
30/06/2021 17:06;26;36;lama;27;55;FALSE;1
08/01/2023 15:38;24;77;lama;26;74;TRUE;3
24/03/2024 04:51;27;21;telhado;63;54;TRUE;3
29/07/2024 15:06;39;23;navegavel;97;67;FALSE;1
25/09/2024 23:35;20;26;navegavel;68;94;TRUE;2
01/07/2025 14:48;36;92;seco;37;94;TRUE;2
25/03/2022 04:28;24;96;asfalto molhado;53;97;FALSE;3
29/09/2020 08:00;41;41;telhado;42;16;FALSE;2
25/12/2020 17:45;5;4;telhado;89;82;FALSE;2
08/06/2020 21:56;47;15;telhado;23;12;FALSE;2
11/03/2020 20:08;17;84;seco;30;86;FALSE;1
28/02/2026 08:03;0;55;lama;49;91;TRUE;3
19/10/2025 21:51;34;34;telhado;39;12;TRUE;3
06/11/2024 15:55;39;3;telhado;2;11;FALSE;2
04/03/2022 08:17;28;45;asfalto molhado;71;79;FALSE;2
05/09/2024 11:10;33;91;asfalto molhado;80;69;FALSE;3
25/05/2023 06:11;30;42;asfalto molhado;70;74;TRUE;3
18/09/2022 19:47;44;14;lama;2;97;FALSE;1
05/08/2021 01:59;30;59;asfalto molhado;78;83;FALSE;3
18/03/2026 14:39;19;33;seco;71;6;FALSE;2
24/05/2020 09:42;4;64;lama;95;12;FALSE;4
27/06/2022 22:53;40;94;lama;28;35;FALSE;3
18/03/2020 13:56;18;66;seco;62;92;FALSE;2
28/08/2020 15:48;25;94;lama;88;50;FALSE;3
13/08/2020 04:23;27;18;asfalto molhado;3;33;FALSE;2
08/02/2026 23:19;20;6;seco;53;15;FALSE;2
23/02/2021 04:15;11;32;lama;61;32;FALSE;3
19/03/2020 10:48;12;21;navegavel;59;44;FALSE;2
17/02/2023 11:13;7;4;seco;71;32;FALSE;2
29/07/2023 14:45;24;61;lama;2;75;FALSE;2
06/09/2022 22:36;19;45;asfalto molhado;15;58;FALSE;1
24/07/2025 18:40;11;25;navegavel;7;14;FALSE;1
20/12/2020 00:30;44;99;lama;84;51;FALSE;3
07/08/2022 01:41;16;31;navegavel;35;83;TRUE;1
09/12/2021 02:24;44;77;telhado;73;93;FALSE;3
09/04/2020 14:50;34;74;asfalto molhado;50;41;FALSE;3
01/06/2024 03:41;17;54;navegavel;41;27;TRUE;3
24/09/2024 01:29;33;74;seco;96;56;FALSE;2
04/12/2025 21:17;33;4;navegavel;0;99;FALSE;0
31/05/2024 06:04;40;13;asfalto molhado;40;10;TRUE;3
02/12/2023 11:05;18;16;lama;21;62;FALSE;1
19/12/2025 09:17;15;53;telhado;39;29;TRUE;4
10/02/2021 15:51;24;52;asfalto molhado;58;25;FALSE;4
07/09/2022 10:16;6;37;telhado;55;36;FALSE;3
04/09/2023 02:50;25;9;lama;30;78;FALSE;1
20/02/2020 03:30;43;61;navegavel;83;49;TRUE;4
30/04/2025 06:45;41;73;navegavel;50;7;FALSE;2
08/08/2025 03:24;26;41;seco;4;27;TRUE;2
01/10/2022 14:28;40;23;seco;56;82;FALSE;1
01/12/2025 14:54;21;77;lama;19;34;FALSE;3
26/04/2021 19:07;4;20;seco;92;71;FALSE;1
02/02/2025 06:50;39;1;asfalto molhado;57;40;FALSE;3
15/01/2023 00:18;2;78;seco;74;15;FALSE;3
03/04/2020 05:20;14;67;lama;23;16;FALSE;3
21/11/2020 15:50;24;3;asfalto molhado;26;34;FALSE;2
12/04/2022 22:20;24;27;lama;56;25;TRUE;4
02/02/2020 00:56;3;72;telhado;47;46;FALSE;3
01/06/2021 14:04;5;39;asfalto molhado;37;3;FALSE;2
09/07/2025 22:46;13;5;seco;36;42;TRUE;2
20/12/2025 16:56;18;76;seco;86;59;TRUE;3
08/06/2024 02:24;22;79;telhado;97;98;FALSE;3
09/04/2022 09:12;41;6;telhado;60;67;FALSE;2
25/09/2021 19:18;48;2;seco;0;75;TRUE;1
08/10/2021 12:17;36;28;lama;42;74;FALSE;1
28/04/2024 19:25;33;96;asfalto molhado;90;85;TRUE;4
22/11/2023 04:05;6;14;asfalto molhado;59;47;FALSE;3
10/05/2022 20:21;0;54;telhado;85;41;TRUE;5
01/03/2021 06:27;4;8;lama;74;35;FALSE;3
14/11/2025 07:00;3;21;navegavel;81;11;FALSE;2
08/02/2022 19:01;33;11;asfalto molhado;32;39;FALSE;2
06/04/2024 06:47;13;12;navegavel;88;33;TRUE;3
08/02/2021 01:59;42;94;seco;17;35;TRUE;3
26/03/2024 00:51;12;65;asfalto molhado;62;9;FALSE;4
01/03/2022 01:27;30;27;seco;94;40;FALSE;2
01/06/2024 10:15;29;46;lama;4;76;FALSE;1
15/05/2025 07:42;33;73;navegavel;37;22;TRUE;3
09/05/2021 00:01;49;32;navegavel;29;48;FALSE;1
04/01/2023 17:43;29;21;asfalto molhado;12;11;FALSE;2
27/01/2023 13:33;47;81;lama;15;61;TRUE;3
06/03/2024 06:28;49;28;seco;25;32;TRUE;2
26/04/2022 00:52;5;72;telhado;53;15;FALSE;4
17/02/2026 14:28;22;97;navegavel;10;28;FALSE;2
25/07/2025 18:01;47;44;navegavel;10;3;TRUE;2
07/03/2023 00:40;33;8;seco;85;42;FALSE;2
07/08/2021 07:43;47;55;asfalto molhado;80;81;TRUE;4
20/01/2025 10:11;37;4;asfalto molhado;42;42;FALSE;2
07/01/2022 17:14;43;42;telhado;9;55;FALSE;1
30/05/2021 18:06;40;90;telhado;26;74;FALSE;2
31/07/2022 14:29;40;99;asfalto molhado;80;15;FALSE;4
02/11/2021 23:28;45;28;telhado;92;30;FALSE;3
25/08/2023 21:38;28;57;asfalto molhado;61;51;TRUE;4
25/05/2020 03:20;11;33;navegavel;55;22;FALSE;2
26/02/2021 23:33;26;93;asfalto molhado;14;18;FALSE;3
11/07/2025 20:50;8;73;lama;75;59;FALSE;3
17/06/2021 15:03;29;84;navegavel;2;84;TRUE;2
17/10/2024 15:08;7;29;navegavel;28;89;TRUE;1
09/02/2026 05:11;11;90;lama;56;88;FALSE;3
02/10/2025 19:40;20;36;telhado;93;8;FALSE;3
21/03/2024 01:59;17;26;asfalto molhado;54;97;TRUE;3
27/03/2023 05:56;0;16;navegavel;15;41;FALSE;1
20/09/2023 20:14;49;40;seco;60;2;FALSE;2
31/07/2024 21:13;22;29;lama;81;31;FALSE;3
12/02/2022 17:53;24;15;telhado;25;44;FALSE;2
27/01/2020 12:57;39;42;telhado;94;63;FALSE;2
12/06/2021 01:48;38;30;telhado;84;87;FALSE;2
30/07/2023 08:36;8;67;lama;48;44;FALSE;3
03/08/2025 14:09;21;91;lama;17;59;TRUE;3
26/02/2024 21:32;44;46;asfalto molhado;34;92;FALSE;1
02/07/2020 16:41;46;30;seco;2;43;FALSE;1
12/07/2022 20:44;41;19;asfalto molhado;73;57;TRUE;3
30/08/2025 07:54;19;71;telhado;77;35;FALSE;4
20/04/2026 08:59;38;0;lama;33;91;TRUE;2
19/07/2024 02:18;37;70;asfalto molhado;63;38;FALSE;4
12/05/2025 07:12;49;15;asfalto molhado;27;68;FALSE;1
24/10/2024 11:43;20;65;asfalto molhado;33;70;FALSE;2
15/06/2025 00:15;22;99;lama;51;12;TRUE;5
29/05/2025 08:18;35;95;seco;56;56;TRUE;3
17/03/2026 21:30;31;2;navegavel;79;88;FALSE;1
19/04/2022 08:50;11;66;seco;19;5;TRUE;3
08/04/2021 22:17;9;77;navegavel;48;68;FALSE;1
12/12/2022 14:35;46;5;lama;23;96;FALSE;1
10/09/2025 21:10;7;4;asfalto molhado;23;49;TRUE;3
23/07/2021 12:14;7;96;telhado;43;51;FALSE;2
06/07/2024 08:53;45;91;asfalto molhado;37;15;FALSE;3
29/03/2022 00:34;47;18;seco;13;17;FALSE;1
22/03/2026 18:26;15;78;lama;87;44;TRUE;5
15/05/2023 02:09;1;0;navegavel;59;91;FALSE;1
01/04/2023 04:26;19;13;seco;34;78;TRUE;1
01/10/2020 00:20;36;96;asfalto molhado;33;44;TRUE;4
16/06/2023 03:59;25;38;navegavel;38;52;FALSE;0
18/10/2024 21:35;16;21;seco;16;84;FALSE;0
30/04/2021 20:53;23;25;asfalto molhado;27;54;FALSE;1
26/12/2021 15:50;27;64;navegavel;90;45;FALSE;3
19/01/2021 14:24;31;81;telhado;54;69;FALSE;3
24/01/2023 09:47;39;5;telhado;51;60;FALSE;2
14/04/2022 01:33;0;18;seco;92;56;TRUE;2
14/06/2024 22:37;45;38;navegavel;33;86;FALSE;0
17/11/2020 12:02;30;84;telhado;68;78;FALSE;3
28/08/2022 17:49;36;77;asfalto molhado;7;64;TRUE;3
07/05/2020 23:01;26;47;asfalto molhado;99;41;TRUE;4
15/07/2024 12:21;37;64;seco;11;96;TRUE;2
10/03/2025 23:53;33;58;lama;56;51;FALSE;3
08/02/2022 21:40;2;67;asfalto molhado;43;48;FALSE;3
11/03/2023 12:40;46;24;seco;66;35;FALSE;2
20/05/2024 22:07;23;85;telhado;57;20;FALSE;4
20/04/2024 15:50;28;88;lama;61;62;FALSE;3
11/06/2024 11:50;2;58;lama;65;93;FALSE;3
15/07/2020 14:55;3;59;lama;49;25;FALSE;3
14/05/2023 15:37;34;21;asfalto molhado;47;39;TRUE;3
01/01/2020 04:59;2;77;navegavel;24;47;TRUE;3
04/03/2024 15:30;4;23;lama;52;48;TRUE;4
30/12/2025 17:44;40;84;navegavel;19;86;FALSE;1
30/06/2024 11:51;25;64;seco;55;20;FALSE;3
18/05/2021 11:43;46;67;lama;82;38;FALSE;4
02/01/2023 19:12;16;30;navegavel;32;93;FALSE;0
10/03/2022 07:39;44;96;navegavel;70;86;FALSE;2
08/07/2024 13:07;35;9;seco;55;42;FALSE;2
17/11/2025 08:02;5;37;lama;75;78;TRUE;3
10/05/2025 07:45;18;10;navegavel;55;21;TRUE;3
13/07/2020 03:21;29;88;telhado;94;45;FALSE;4
08/09/2022 15:50;21;57;asfalto molhado;25;59;TRUE;3
10/05/2025 08:07;28;10;navegavel;77;16;TRUE;3
21/02/2024 01:33;7;70;lama;91;35;FALSE;4
03/06/2025 19:00;11;92;lama;99;93;TRUE;4
26/08/2021 04:53;25;32;telhado;56;80;TRUE;3
20/04/2024 09:26;2;51;telhado;93;9;FALSE;4
02/12/2022 06:51;49;77;telhado;58;54;FALSE;3
08/03/2020 07:26;4;58;asfalto molhado;24;79;FALSE;2
20/01/2024 06:46;35;26;navegavel;97;91;TRUE;2
27/10/2024 02:21;41;87;lama;37;67;TRUE;3
17/03/2025 14:42;25;42;navegavel;55;81;FALSE;1
14/10/2023 00:58;0;7;lama;32;96;TRUE;2
06/05/2023 02:14;13;99;telhado;76;98;TRUE;4
29/02/2024 18:17;38;89;seco;44;93;TRUE;2
31/03/2025 00:59;34;93;asfalto molhado;47;82;FALSE;2
08/11/2023 04:54;33;97;telhado;5;62;FALSE;2
25/04/2022 05:24;14;89;asfalto molhado;69;2;TRUE;5
12/06/2021 16:02;24;60;seco;82;78;FALSE;2
22/10/2020 07:07;44;2;asfalto molhado;87;91;TRUE;3
28/07/2025 19:25;10;57;telhado;0;99;FALSE;2
09/04/2020 23:27;40;94;lama;42;66;FALSE;2
16/05/2020 01:14;47;11;telhado;72;50;FALSE;2
24/02/2025 18:33;34;41;lama;97;26;FALSE;3
18/01/2022 22:52;17;72;navegavel;65;76;TRUE;3
17/06/2020 01:18;36;11;lama;87;38;FALSE;3
19/08/2020 11:40;27;78;asfalto molhado;40;46;FALSE;3
07/01/2023 21:07;24;52;navegavel;39;9;TRUE;3
14/06/2020 00:48;21;70;telhado;76;66;FALSE;3
06/02/2021 16:49;33;87;lama;36;65;FALSE;2
12/10/2023 03:50;39;7;navegavel;85;18;FALSE;2
06/10/2025 17:01;20;22;lama;32;87;FALSE;1
17/02/2025 19:14;13;19;telhado;10;20;TRUE;3
21/05/2021 20:29;40;65;lama;55;31;TRUE;5
28/01/2020 11:10;36;67;seco;79;50;TRUE;3
27/01/2022 13:56;4;45;seco;38;74;FALSE;0
06/03/2020 04:36;48;45;seco;14;31;FALSE;1
27/11/2021 01:20;49;19;navegavel;26;94;TRUE;1
05/01/2022 04:01;31;96;telhado;59;46;TRUE;5
25/11/2025 09:18;44;35;navegavel;76;78;TRUE;2
21/12/2023 09:56;12;91;asfalto molhado;98;22;FALSE;4
19/04/2024 06:52;43;27;seco;51;98;TRUE;2
29/03/2024 18:56;44;82;seco;68;66;TRUE;3
15/11/2022 07:35;47;53;navegavel;2;5;FALSE;2
07/06/2020 00:43;30;83;telhado;35;51;FALSE;2
21/07/2021 03:22;37;29;seco;44;84;FALSE;0
11/05/2025 11:40;13;44;asfalto molhado;20;71;FALSE;1
23/08/2021 18:40;37;50;lama;97;7;FALSE;3
21/02/2023 08:36;38;63;asfalto molhado;92;70;FALSE;3
08/08/2023 19:25;17;27;telhado;72;58;FALSE;2
16/09/2023 16:40;39;60;lama;48;19;TRUE;4
06/10/2025 09:26;33;7;asfalto molhado;87;21;FALSE;3
25/06/2025 10:36;31;86;asfalto molhado;18;89;FALSE;2
15/01/2022 12:08;32;55;navegavel;98;47;FALSE;3
09/11/2024 06:34;24;48;asfalto molhado;13;19;FALSE;2
16/08/2021 14:42;44;98;seco;88;4;FALSE;3
26/04/2025 01:43;0;43;navegavel;1;30;FALSE;1
10/04/2022 23:05;9;5;seco;21;28;TRUE;2
17/12/2025 01:55;20;39;lama;85;41;FALSE;3
04/09/2024 06:05;49;14;lama;46;50;TRUE;2
21/08/2023 17:38;48;69;navegavel;20;86;FALSE;1
14/01/2021 19:06;8;71;telhado;80;83;FALSE;3
29/08/2023 20:42;1;2;lama;53;55;FALSE;2
20/01/2023 12:31;10;98;asfalto molhado;3;61;FALSE;2
06/04/2026 14:34;3;52;seco;13;65;FALSE;1
10/09/2020 09:45;15;29;telhado;8;32;TRUE;3
03/06/2025 16:10;7;29;telhado;49;39;TRUE;3
05/04/2020 16:22;5;25;seco;71;25;FALSE;2
20/04/2021 18:44;23;39;seco;7;18;FALSE;1
17/11/2020 12:41;2;52;navegavel;17;97;TRUE;2
03/08/2025 14:27;36;47;navegavel;63;88;TRUE;2
27/04/2021 17:03;19;82;asfalto molhado;64;75;FALSE;3
16/07/2022 00:04;28;44;navegavel;3;14;FALSE;1
28/12/2020 19:28;21;23;seco;77;40;FALSE;2
01/11/2022 17:03;41;78;telhado;76;18;FALSE;4
22/10/2020 15:29;34;0;asfalto molhado;24;38;FALSE;2
12/09/2022 08:25;34;92;telhado;43;18;FALSE;3
10/10/2021 01:20;47;30;navegavel;76;10;FALSE;2
06/01/2026 14:50;32;99;asfalto molhado;42;85;TRUE;3
09/12/2023 10:59;41;58;navegavel;31;14;FALSE;2
13/05/2023 12:56;24;18;seco;43;25;FALSE;1
31/03/2024 22:01;5;85;lama;34;89;TRUE;3
17/02/2023 13:37;34;35;asfalto molhado;7;73;FALSE;1
05/04/2025 14:14;38;42;telhado;18;36;TRUE;3
09/09/2022 00:02;6;77;navegavel;20;53;FALSE;1
19/03/2023 10:52;35;46;asfalto molhado;12;41;FALSE;2
01/12/2021 21:11;34;34;lama;31;24;FALSE;2
22/11/2024 06:39;9;44;asfalto molhado;8;60;FALSE;1
12/10/2024 17:28;48;21;asfalto molhado;30;51;FALSE;1
23/09/2025 21:28;41;4;navegavel;90;31;FALSE;2
15/10/2023 02:40;17;29;asfalto molhado;17;34;FALSE;2
30/09/2021 20:21;43;22;lama;15;0;FALSE;2
06/02/2022 17:57;24;61;telhado;10;60;TRUE;3
27/02/2020 08:47;10;56;lama;64;54;TRUE;4
23/09/2024 10:11;42;87;telhado;21;80;FALSE;2
06/03/2021 01:26;0;10;navegavel;13;14;FALSE;1
23/01/2026 23:03;35;61;lama;13;62;FALSE;2
19/01/2023 04:16;8;83;navegavel;81;96;FALSE;2
04/11/2025 10:28;41;50;navegavel;90;66;FALSE;1
09/05/2023 21:58;7;91;telhado;18;33;FALSE;3
10/08/2021 22:46;19;19;seco;64;27;TRUE;3
01/09/2025 21:57;10;36;telhado;11;35;FALSE;2
27/06/2020 23:56;23;54;lama;84;14;FALSE;4
08/01/2023 12:45;20;35;telhado;59;25;TRUE;4
25/08/2025 06:47;15;13;seco;43;85;FALSE;0
23/12/2020 03:09;41;41;telhado;84;18;TRUE;4
17/09/2022 13:07;36;95;seco;50;99;FALSE;1
06/08/2023 05:34;32;12;seco;50;29;FALSE;1
10/06/2020 18:26;32;64;lama;4;20;TRUE;4
13/07/2022 15:54;29;83;lama;46;5;TRUE;4
29/12/2022 19:29;23;15;seco;49;56;TRUE;1
18/01/2026 07:12;49;95;seco;75;96;FALSE;2
25/11/2024 09:08;42;82;seco;69;85;FALSE;2
13/09/2022 00:27;40;48;seco;76;14;FALSE;2
11/04/2025 04:20;29;26;seco;19;90;FALSE;0
30/03/2026 10:49;39;23;seco;57;90;FALSE;1
30/09/2022 03:06;29;2;seco;42;10;FALSE;1
21/03/2022 19:33;42;1;telhado;59;44;FALSE;3
24/06/2022 02:22;3;18;seco;60;64;FALSE;1
04/06/2024 03:54;26;51;telhado;70;70;FALSE;3
14/05/2024 10:45;17;76;telhado;9;67;FALSE;2
15/02/2020 19:38;7;2;seco;82;68;FALSE;1
06/02/2026 11:22;38;26;telhado;59;6;FALSE;3
27/06/2020 14:01;45;17;lama;27;16;FALSE;2
10/01/2023 02:18;44;71;asfalto molhado;11;97;TRUE;3
08/08/2021 09:31;20;76;navegavel;13;91;TRUE;2
04/08/2024 20:24;31;56;asfalto molhado;0;7;FALSE;3
22/12/2023 11:46;29;33;telhado;34;64;FALSE;1
06/07/2020 18:37;39;96;seco;19;98;FALSE;1
27/03/2024 02:41;25;63;navegavel;38;72;FALSE;1
27/06/2025 15:15;14;53;navegavel;30;20;TRUE;3
11/01/2024 05:30;34;18;asfalto molhado;19;76;TRUE;2
16/06/2024 05:42;38;35;asfalto molhado;85;94;FALSE;2
21/12/2025 23:23;45;55;asfalto molhado;11;5;FALSE;3
26/01/2021 09:04;5;37;telhado;34;18;FALSE;2
18/11/2020 05:38;45;54;telhado;36;14;TRUE;4
09/07/2024 14:33;45;55;lama;37;94;FALSE;2
14/11/2021 07:23;48;51;lama;70;93;FALSE;3
29/11/2022 23:52;22;89;telhado;95;0;FALSE;4
12/04/2024 08:51;48;44;seco;26;15;FALSE;1
03/07/2025 01:40;8;78;navegavel;45;58;TRUE;2
09/01/2021 00:28;44;39;lama;93;12;FALSE;3
30/06/2020 03:57;0;62;lama;90;27;TRUE;5
12/08/2025 18:28;9;79;navegavel;46;44;FALSE;2
10/04/2022 09:48;41;91;seco;9;5;TRUE;3
17/05/2020 01:34;3;50;telhado;19;12;TRUE;3
07/07/2023 00:12;10;54;navegavel;94;81;TRUE;3
04/11/2023 17:06;33;45;navegavel;18;13;FALSE;1
18/12/2025 20:56;22;39;telhado;73;80;TRUE;3
25/10/2025 12:06;14;2;asfalto molhado;71;81;FALSE;2
03/02/2024 13:35;37;31;seco;19;95;FALSE;0
01/06/2025 23:12;6;19;seco;85;82;FALSE;1
13/12/2020 00:48;8;34;navegavel;74;16;FALSE;2
26/12/2025 00:02;32;36;asfalto molhado;19;25;FALSE;2
21/03/2020 23:17;24;46;seco;96;63;FALSE;1
01/11/2021 01:21;22;55;telhado;57;54;FALSE;3
11/05/2022 09:50;24;38;seco;97;87;FALSE;1
19/03/2025 06:04;39;92;navegavel;81;93;TRUE;3
08/03/2023 02:25;4;18;lama;52;28;FALSE;3
04/06/2023 17:40;44;74;navegavel;59;11;TRUE;4
24/11/2022 23:27;7;81;telhado;71;42;FALSE;4
19/11/2020 09:44;6;62;seco;66;32;TRUE;4
19/04/2024 05:42;38;57;asfalto molhado;23;51;FALSE;2
23/01/2024 22:32;44;69;asfalto molhado;77;24;FALSE;4
10/09/2021 13:42;8;57;seco;23;15;FALSE;2
01/06/2022 15:38;8;41;seco;7;48;FALSE;1
25/05/2020 05:54;25;6;seco;30;52;TRUE;1
22/02/2022 02:12;39;84;lama;27;31;FALSE;3
27/09/2023 14:39;4;34;asfalto molhado;93;84;TRUE;3
23/07/2023 06:01;21;38;seco;52;69;FALSE;1
25/03/2026 08:26;43;31;lama;31;15;TRUE;3
17/01/2022 12:30;49;47;telhado;91;66;FALSE;2
06/07/2020 02:47;32;37;lama;1;71;FALSE;1
15/04/2020 02:22;4;68;lama;15;91;FALSE;2
